player_name,team_abbr,PER,TS%,USG%,WS,WS/48,BPM,VORP
DeAndre Jordan,DEN,15.4,0.621,12.8,1.8,0.127,-1.2,0.2
Quinten Post,GSW,14.2,0.595,19.6,1.7,0.116,0.1,0.4
Blake Wesley,SAS,9.9,0.51,16.7,0.2,0.011,-4.2,-0.4
Sandro Mamukelashvili,SAS,19.7,0.628,20.8,2.2,0.152,2.3,0.7
Jalen Pickett,DEN,10.9,0.545,13.2,1.1,0.078,-1.5,0.1
Tosan Evbuomwan,BRK,11.6,0.53,19.1,0.6,0.044,-3.2,-0.2
Antonio Reeves,NOP,11.7,0.579,18.8,0.4,0.029,-3.2,-0.2
Kyle Lowry,PHI,9.8,0.525,10.1,1.0,0.07,-1.3,0.1
Reed Sheppard,HOU,9.7,0.465,17.8,0.8,0.055,-1.7,0.1
Herbert Jones,NOP,10.4,0.541,14.6,0.4,0.033,-3.6,-0.3
Maxi Kleber,DAL,5.6,0.489,8.7,0.3,0.023,-3.8,-0.3
Jeff Dowtin Jr.,PHI,16.1,0.57,18.6,1.3,0.103,0.2,0.3
Daniel Theis,NOP,12.1,0.558,11.6,1.0,0.077,-3.3,-0.2
Cory Joseph,ORL,10.9,0.547,12.8,1.5,0.114,-0.8,0.2
Zeke Nnaji,DEN,12.0,0.574,12.2,1.2,0.097,-1.3,0.1
Kessler Edwards,DAL,11.3,0.597,11.1,1.2,0.096,-1.4,0.1
Pat Connaughton,MIL,12.1,0.567,15.6,1.2,0.093,-2.3,0.0
Ajay Mitchell,OKC,12.0,0.587,16.2,1.5,0.122,-1.6,0.1
Brandon Ingram,NOP,16.0,0.56,30.2,0.0,0.001,-0.3,0.3
Jared McCain,PHI,15.2,0.589,24.7,0.7,0.057,0.2,0.3
Cam Reddish,LAL,7.4,0.498,8.8,0.7,0.054,-2.7,-0.1
Jae'Sean Tate,HOU,12.3,0.557,13.3,1.6,0.133,-0.7,0.2
Olivier-Maxence Prosper,DAL,12.6,0.484,16.3,0.9,0.072,-2.1,0.0
Jarred Vanderbilt,LAL,13.2,0.537,12.5,1.4,0.114,-1.0,0.2
Joel Embiid,PHI,23.4,0.58,34.2,1.4,0.118,3.5,0.8
Monte Morris,PHO,13.1,0.546,18.1,0.8,0.064,-1.8,0.0
Moritz Wagner,ORL,22.3,0.649,26.8,2.0,0.174,4.0,0.9
Malcolm Brogdon,WAS,15.8,0.544,23.7,0.7,0.061,-1.5,0.1
John Konchar,MEM,12.1,0.592,8.0,1.5,0.131,1.7,0.5
Dillon Jones,OKC,8.1,0.464,13.3,0.8,0.067,-4.0,-0.3
Dwight Powell,DAL,12.9,0.713,7.6,1.7,0.147,0.0,0.3
Jordan Goodwin,LAL,12.1,0.541,14.1,1.0,0.084,-0.8,0.2
Richaun Holmes,WAS,19.8,0.695,14.7,2.0,0.178,1.1,0.4
Mouhamed Gueye,ATL,14.4,0.52,15.7,1.2,0.106,-0.6,0.2
Bismack Biyombo,SAS,12.2,0.576,12.3,0.8,0.071,-3.6,-0.2
Jaylen Clark,MIN,12.0,0.598,12.0,1.6,0.147,-0.2,0.2
Rob Dillingham,MIN,10.2,0.503,22.7,0.1,0.012,-4.2,-0.3
Craig Porter Jr.,CLE,13.1,0.61,15.9,1.1,0.102,1.1,0.4
Tristan Vukcevic,WAS,17.8,0.608,25.7,0.7,0.069,-0.5,0.2
Jamal Cain,NOP,11.4,0.544,17.0,0.4,0.036,-3.4,-0.2
Keaton Wallace,ATL,10.1,0.503,16.4,0.4,0.034,-2.3,0.0
Jock Landale,HOU,16.0,0.59,15.7,1.7,0.159,0.4,0.3
Vince Williams Jr.,MEM,9.2,0.504,17.0,0.4,0.04,-2.8,-0.1
Brandon Williams,DAL,18.3,0.634,22.6,1.3,0.129,1.0,0.4
A.J. Lawson,TOR,12.7,0.542,20.0,0.8,0.081,-2.5,-0.1
Grant Williams,CHO,11.5,0.596,14.8,0.7,0.071,-1.6,0.1
Lonnie Walker IV,PHI,13.1,0.548,22.8,0.3,0.033,-2.4,0.0
Duop Reath,POR,13.7,0.552,17.0,1.0,0.105,-0.3,0.2
Larry Nance Jr.,ATL,16.0,0.632,15.7,1.3,0.131,1.8,0.4
Collin Gillespie,PHO,16.8,0.578,17.7,1.3,0.131,2.5,0.5
Rayan Rupert,POR,8.1,0.499,16.8,0.1,0.007,-4.7,-0.3
GG Jackson II,MEM,9.3,0.482,21.7,0.1,0.009,-5.3,-0.4
Jaylon Tyson,CLE,11.1,0.523,17.4,0.8,0.083,-2.7,-0.1
Bol Bol,PHO,18.4,0.627,21.1,0.9,0.097,0.8,0.3
Paul Reed,DET,18.6,0.573,18.0,1.6,0.173,2.9,0.5
Trevelin Queen,ORL,11.9,0.486,18.1,0.7,0.074,-0.3,0.2
Malaki Branham,SAS,12.0,0.575,23.8,0.1,0.007,-3.2,-0.1
Jordan Miller,LAC,10.5,0.509,18.2,0.4,0.049,-2.8,-0.1
Taj Gibson,CHO,10.8,0.515,13.4,0.4,0.043,-5.3,-0.3
Ousmane Dieng,OKC,11.5,0.538,15.7,0.9,0.104,-0.9,0.1
Jordan Walsh,BOS,6.9,0.464,11.5,0.4,0.044,-3.9,-0.2
Hunter Tyson,DEN,9.0,0.506,15.5,0.4,0.047,-4.8,-0.3
Anthony Gill,WAS,10.2,0.586,12.7,0.5,0.058,-4.5,-0.3
Devin Carter,SAC,10.8,0.471,17.9,0.4,0.043,-3.2,-0.1
Jeff Green,HOU,13.6,0.649,14.7,1.3,0.159,0.4,0.2
Reggie Jackson,PHI,9.8,0.496,17.5,0.1,0.015,-4.0,-0.2
Baylor Scheierman,BOS,10.3,0.49,14.5,0.7,0.089,-1.7,0.0
Quenton Jackson,IND,14.7,0.58,17.7,1.0,0.126,-0.3,0.2
Johnny Furphy,IND,9.8,0.506,13.0,0.5,0.07,-2.5,0.0
Charles Bassey,SAS,19.0,0.597,17.5,1.1,0.136,-1.1,0.1
Dominick Barlow,ATL,14.6,0.58,14.5,1.0,0.131,-2.2,0.0
Dante Exum,DAL,13.6,0.589,19.6,0.6,0.083,-2.3,0.0
Damion Baugh,CHO,6.3,0.399,19.3,-0.5,-0.069,-7.1,-0.5
Robert Williams,POR,18.9,0.679,12.2,1.3,0.175,3.0,0.4
Doug McDermott,SAC,9.5,0.617,15.7,0.4,0.061,-3.2,-0.1
Christian Koloko,LAL,13.0,0.624,10.8,0.9,0.13,-2.8,-0.1
Terrence Shannon Jr.,MIN,11.9,0.56,17.7,0.6,0.091,-2.1,0.0
Keion Brooks Jr.,NOP,12.8,0.581,17.1,0.4,0.057,-3.5,-0.1
Tristan Thompson,CLE,9.1,0.41,12.7,0.4,0.057,-4.6,-0.2
Jevon Carter,CHI,12.2,0.509,21.0,0.3,0.046,-2.1,0.0
Tre Mann,CHO,13.3,0.537,26.0,0.1,0.019,-2.4,0.0
Matisse Thybulle,POR,17.0,0.592,14.4,0.9,0.146,5.0,0.6
Isaac Jones,SAC,15.2,0.678,16.3,0.7,0.115,-1.7,0.0
Tyler Kolek,NYK,10.3,0.453,15.8,0.4,0.058,-2.8,-0.1
Mitchell Robinson,NYK,20.4,0.676,11.1,1.3,0.221,3.3,0.4
Josh Minott,MIN,15.5,0.605,17.2,0.9,0.153,2.2,0.3
Kobe Brown,LAC,10.8,0.513,14.0,0.5,0.085,-2.1,0.0
Dru Smith,MIA,13.3,0.656,13.8,0.7,0.118,2.1,0.3
Isaiah Wong,CHO,10.9,0.5,22.1,0.1,0.01,-4.0,-0.1
Oscar Tshiebwe,UTA,21.0,0.64,15.3,1.0,0.182,-1.4,0.0
Drew Timme,BRK,11.0,0.5,21.3,0.0,0.009,-6.7,-0.3
Marcus Bagley,PHI,11.8,0.456,13.8,0.2,0.045,-4.3,-0.1
Cam Spencer,MEM,14.2,0.587,15.4,0.8,0.16,0.5,0.2
Kevin Love,MIA,16.2,0.488,24.6,0.4,0.083,0.4,0.2
Pat Spencer,GSW,12.6,0.455,21.2,0.3,0.055,-1.6,0.0
Branden Carlson,OKC,17.6,0.581,19.3,0.9,0.177,1.3,0.2
Dariq Whitehead,BRK,9.4,0.58,20.1,0.1,0.01,-3.7,-0.1
Johnny Davis,WAS,10.2,0.473,15.9,0.1,0.01,-2.8,0.0
Xavier Tillman Sr.,BOS,2.4,0.31,13.1,-0.3,-0.057,-8.1,-0.4
Garrett Temple,TOR,8.5,0.406,13.9,0.2,0.033,-3.6,-0.1
Luka Garza,MIN,18.8,0.573,26.2,0.7,0.144,-2.3,0.0
Ariel Hukporti,NYK,7.6,0.654,11.6,0.1,0.02,-5.6,-0.2
Dario Saric,DEN,7.7,0.449,15.6,0.0,0.001,-4.8,-0.1
Adam Flagler,OKC,3.7,0.335,21.1,-0.3,-0.062,-10.3,-0.4
Drew Peterson,BOS,10.5,0.601,12.5,0.4,0.115,-0.8,0.1
Markelle Fultz,SAC,8.9,0.452,19.3,-0.1,-0.026,-4.7,-0.1
Bronny James,LAL,7.1,0.424,20.9,-0.2,-0.043,-7.2,-0.2
Enrique Freeman,IND,7.4,0.507,12.3,0.2,0.046,-6.3,-0.2
Jaylen Nowell,NOP,7.5,0.43,21.6,-0.2,-0.069,-5.7,-0.2
Killian Hayes,BRK,12.7,0.559,15.5,0.3,0.095,-0.6,0.1
Lamar Stevens,MEM,11.5,0.545,20.2,0.2,0.052,-4.2,-0.1
Tyson Etienne,BRK,5.6,0.488,18.6,-0.1,-0.021,-8.8,-0.3
Josh Richardson,MIA,4.4,0.402,14.1,-0.1,-0.021,-6.7,-0.2
Nate Williams,HOU,8.6,0.496,22.3,0.0,-0.007,-5.7,-0.1
Bruno Fernando,TOR,15.3,0.552,18.9,0.3,0.085,-0.7,0.1
Damion Lee,PHO,11.9,0.499,28.6,-0.1,-0.031,-5.1,-0.1
Oshae Brissett,PHI,9.8,0.576,16.3,0.1,0.019,-6.3,-0.1
Elijah Harkless,UTA,7.8,0.425,12.3,0.1,0.023,-3.8,-0.1
Vlatko Cancar,DEN,4.6,0.462,11.5,-0.1,-0.034,-7.1,-0.2
Alex Ducas,OKC,10.1,0.583,11.8,0.3,0.125,-2.0,0.0
Spencer Jones,DEN,4.5,0.368,13.7,-0.1,-0.031,-8.5,-0.2
Kobe Bufkin,ATL,10.5,0.483,20.8,0.0,0.018,-4.0,-0.1
Tyler Smith,MIL,15.2,0.626,22.1,0.2,0.083,-0.9,0.0
De'Anthony Melton,GSW,13.3,0.539,23.5,0.2,0.076,-0.8,0.0
TyTy Washington Jr.,PHO,6.5,0.367,19.0,-0.2,-0.065,-8.0,-0.2
Trey Alexander,DEN,2.9,0.374,17.3,-0.2,-0.077,-9.7,-0.2
Joe Ingles,MIN,2.4,0.326,12.2,-0.1,-0.035,-7.0,-0.1
Tony Bradley,IND,23.2,0.64,20.1,0.4,0.187,1.2,0.1
Jaylen Sims,CHO,9.8,0.607,16.2,0.1,0.048,-4.1,-0.1
Pacome Dadiet,NYK,6.3,0.446,14.7,0.0,0.002,-6.5,-0.1
Chris Livingston,MIL,9.8,0.441,16.6,0.1,0.035,-6.1,-0.1
Jae Crowder,SAC,6.6,0.467,12.0,0.1,0.026,-4.3,-0.1
Justin Minaya,POR,5.0,0.411,11.1,0.0,-0.007,-5.4,-0.1
Keshad Johnson,MIA,19.1,0.718,15.4,0.4,0.181,-0.1,0.0
Yuki Kawamura,MEM,11.0,0.53,16.9,0.2,0.095,-2.8,0.0
JD Davison,BOS,6.5,0.445,23.6,-0.2,-0.081,-6.2,-0.1
Luke Travers,CLE,1.9,0.287,13.9,-0.1,-0.082,-9.7,-0.2
Stanley Umude,MIL,3.4,0.27,15.7,-0.2,-0.086,-8.1,-0.1
Kevin Knox,GSW,17.1,0.582,21.8,0.2,0.121,-1.3,0.0
Isaiah Jackson,IND,18.2,0.6,17.6,0.3,0.153,0.8,0.1
Marcus Garrett,CHO,8.7,0.487,18.7,0.0,-0.002,-7.6,-0.1
Emoni Bates,CLE,9.8,0.487,22.6,0.1,0.038,-1.5,0.0
Taylor Hendricks,UTA,7.1,0.354,12.1,0.0,-0.008,-3.5,0.0
Chris Duarte,CHI,16.5,0.61,17.2,0.3,0.171,1.2,0.1
Daeqwon Plowden,ATL,16.1,0.831,17.0,0.2,0.125,-0.1,0.0
RayJ Dennis,IND,13.9,0.443,24.0,0.1,0.036,0.7,0.0
Josh Christopher,MIA,9.4,0.416,25.5,-0.1,-0.073,-7.9,-0.1
Matt Ryan,NYK,6.1,0.439,22.3,-0.1,-0.057,-7.5,-0.1
Armel Traore,LAL,3.5,0.317,16.4,-0.1,-0.092,-9.8,-0.1
PJ Hall,DEN,18.3,0.641,17.8,0.2,0.168,-1.3,0.0
Nae'Qwan Tomlin,CLE,14.4,0.489,26.1,0.1,0.093,-5.5,-0.1
Jamaree Bouyea,MIL,9.7,0.581,16.0,0.0,0.007,-5.4,0.0
Cam Christie,LAC,9.1,0.349,20.5,0.0,-0.005,-2.5,0.0
P.J. Tucker,NYK,5.5,0.643,6.0,0.1,0.07,-7.2,-0.1
Jazian Gortman,DAL,6.5,0.485,22.4,-0.1,-0.056,-6.3,-0.1
Liam Robbins,MIL,2.6,0.363,14.2,-0.1,-0.066,-10.5,-0.1
E.J. Liddell,CHI,11.1,0.661,14.1,0.1,0.108,-4.1,0.0
Jackson Rowe,GSW,15.9,0.56,16.7,0.2,0.153,1.0,0.0
N'Faly Dante,HOU,24.0,0.789,13.9,0.3,0.283,2.4,0.1
Isaiah Crawford,SAC,9.2,0.509,12.9,0.0,0.037,-4.1,0.0
Mason Jones,SAC,20.6,0.569,20.3,0.2,0.198,2.9,0.1
Phillip Wheeler,PHI,-2.3,0.183,22.6,-0.3,-0.283,-18.2,-0.2
Malachi Flynn,CHO,12.4,0.512,19.0,0.0,0.043,-2.8,0.0
Jack McVeigh,HOU,4.0,0.412,18.2,0.0,-0.031,-7.7,-0.1
Bobi Klintman,DET,15.9,0.689,11.9,0.2,0.208,1.0,0.0
James Johnson,IND,0.0,0.35,18.0,-0.1,-0.162,-9.7,-0.1
PJ Dozier,MIN,9.5,0.621,8.2,0.1,0.107,0.7,0.0
Harrison Ingram,SAS,10.9,0.5,6.1,0.1,0.093,-1.2,0.0
Miles Norris,BOS,8.5,0.354,12.4,0.0,0.049,-1.9,0.0
David Duke Jr.,SAS,12.2,0.538,21.2,0.0,0.023,-1.5,0.0
D.J. Carton,TOR,-2.6,0.202,14.5,-0.1,-0.199,-11.1,-0.1
Bryce McGowens,POR,1.7,0.391,26.8,-0.1,-0.172,-13.6,-0.1
Leonard Miller,MIN,19.9,0.54,27.8,0.1,0.145,-3.7,0.0
Ulrich Chomche,TOR,5.2,0.425,10.3,0.0,0.001,-7.4,0.0
Jalen Bridges,PHO,-0.1,0.514,18.8,-0.1,-0.178,-12.5,-0.1
Jahmir Young,CHI,16.8,0.935,9.6,0.1,0.22,0.5,0.0
Kevin McCullar Jr.,NYK,6.7,0.381,11.8,0.0,0.06,-7.2,0.0
Trentyn Flowers,LAC,4.3,0.446,21.5,0.0,-0.033,-8.3,0.0
Emanuel Miller,CHI,18.1,0.563,14.8,0.1,0.201,-1.8,0.0
Daniss Jenkins,DET,-0.1,0.322,21.8,-0.1,-0.15,-15.8,-0.1
Anton Watson,NYK,5.9,0.444,21.7,0.0,-0.07,-10.1,0.0
Tolu Smith,DET,19.5,0.678,23.6,0.1,0.128,-8.9,0.0
Malevy Leons,OKC,-2.3,0.266,9.6,0.0,-0.052,-12.4,-0.1
Adama Sanogo,CHI,15.2,0.571,15.9,0.0,0.105,-2.6,0.0
Taze Moore,POR,7.1,0.276,26.8,-0.1,-0.15,-4.3,0.0
Ron Harper Jr.,DET,7.9,0.225,22.0,0.0,-0.06,-14.7,0.0
Isaiah Mobley,PHI,17.2,0.381,20.2,0.0,0.119,4.7,0.0
Yuri Collins,GSW,13.9,0.333,7.9,0.1,0.214,0.3,0.0
Daishen Nix,MIN,-7.0,0.266,19.6,-0.1,-0.327,-16.2,0.0
Skal Labissiere,SAC,15.9,0.625,14.3,0.0,0.165,2.1,0.0
Braxton Key,GSW,1.1,0.226,29.3,-0.1,-0.259,-13.6,0.0
Cui Yongxi,BRK,-10.7,0.19,34.4,-0.1,-0.473,-24.9,-0.1
Mac McClung,ORL,-0.3,0.0,8.7,0.0,-0.047,-11.0,0.0
Quincy Olivari,LAL,-5.2,0.3,26.3,-0.1,-0.3,-18.6,0.0
Terence Davis,SAC,-4.0,0.0,10.8,0.0,-0.191,-16.9,0.0
Jalen McDaniels,WAS,10.9,,0.0,0.0,0.114,5.6,0.0
Riley Minix,SAS,-1.7,0.0,6.1,0.0,-0.114,-11.8,0.0
Isaiah Stevens,MIA,0.1,0.0,14.8,0.0,-0.196,-11.8,0.0
Terry Taylor,SAC,9.8,0.0,7.2,0.0,0.049,3.3,0.0
Jesse Edwards,MIN,-0.1,,0.0,0.0,0.111,-4.0,0.0
James Wiseman,IND,31.2,0.615,42.2,0.0,0.237,1.6,0.0
Alondes Williams,DET,53.4,1.25,21.1,0.0,0.565,44.1,0.0
Zyon Pullin,MEM,-11.7,0.0,13.4,0.0,-0.304,-22.7,0.0
Jahlil Okafor,IND,13.8,,0.0,0.0,0.196,7.5,0.0
League Average,,,0.576,19.9,,,,
Zach LaVine,2TM,17.3,0.639,25.3,5.1,0.094,0.7,1.8
De'Aaron Fox,2TM,18.3,0.56,28.3,4.3,0.093,0.4,1.3
Max Christie,2TM,10.4,0.57,15.2,2.7,0.06,-2.5,-0.3
Dennis Schroder,3TM,12.7,0.531,21.6,3.2,0.073,-2.2,-0.1
Davion Mitchell,2TM,10.2,0.573,13.6,3.0,0.07,-2.6,-0.3
Quentin Grimes,2TM,15.9,0.595,22.8,3.4,0.081,0.4,1.2
Kyle Kuzma,2TM,10.6,0.514,24.0,-0.9,-0.024,-4.9,-1.4
Andrew Wiggins,2TM,16.4,0.566,24.5,4.0,0.104,0.9,1.4
Dorian Finney-Smith,2TM,10.1,0.604,12.3,2.9,0.078,-1.0,0.5
Luka Doncic,2TM,24.1,0.587,33.9,5.9,0.16,6.7,3.9
Jimmy Butler,2TM,22.4,0.626,20.8,8.7,0.238,4.9,3.0
De'Andre Hunter,2TM,15.9,0.623,22.8,4.4,0.122,0.4,1.0
Anthony Davis,2TM,26.3,0.588,30.4,6.7,0.188,5.4,3.2
Georges Niang,2TM,11.2,0.607,17.9,2.9,0.081,-2.3,-0.1
Kevin Huerter,2TM,11.3,0.544,17.5,1.9,0.054,-2.0,0.0
Caris LeVert,2TM,15.2,0.582,19.4,4.0,0.119,0.9,1.2
Jonas Valanciunas,2TM,20.8,0.602,22.8,4.3,0.137,0.6,1.0
Kevin Porter Jr.,2TM,15.4,0.531,25.4,2.2,0.072,-0.6,0.5
D'Angelo Russell,2TM,14.0,0.522,24.0,1.9,0.063,-0.4,0.6
Terance Mann,2TM,12.0,0.584,14.7,3.0,0.101,-1.3,0.2
Jake LaRavia,2TM,12.6,0.591,14.4,2.9,0.104,0.2,0.8
Bogdan Bogdanovic,2TM,11.1,0.559,18.7,1.9,0.069,-2.0,0.0
Javonte Green,2TM,10.7,0.541,11.8,1.6,0.063,-2.3,-0.1
Nick Richards,2TM,16.6,0.634,17.3,3.0,0.114,-3.3,-0.4
Caleb Martin,2TM,9.6,0.513,14.4,0.6,0.025,-3.2,-0.4
Cody Martin,2TM,11.3,0.509,14.7,1.3,0.054,-1.7,0.1
Ben Simmons,2TM,12.4,0.539,13.2,1.8,0.078,-0.5,0.4
Jusuf Nurkic,2TM,15.2,0.555,20.6,1.5,0.066,-1.3,0.2
Jared Butler,2TM,15.6,0.549,23.6,1.4,0.063,-1.0,0.3
Kyle Anderson,2TM,15.1,0.538,15.9,2.8,0.135,1.5,0.9
Zach Collins,2TM,16.0,0.605,17.1,2.7,0.132,0.0,0.5
Thomas Bryant,2TM,17.2,0.614,17.1,3.1,0.152,0.6,0.6
Bruce Brown,2TM,10.9,0.504,17.2,0.7,0.035,-3.8,-0.4
KJ Martin,2TM,10.2,0.618,11.5,1.3,0.068,-3.6,-0.4
Tre Jones,2TM,16.3,0.617,14.1,2.9,0.155,1.5,0.8
Kelly Olynyk,2TM,14.9,0.609,18.5,1.7,0.092,-0.7,0.3
Khris Middleton,2TM,16.7,0.588,22.0,2.0,0.116,0.7,0.6
Shake Milton,2TM,11.9,0.563,16.7,1.3,0.077,-2.2,0.0
Vasilije Micic,2TM,6.5,0.462,19.9,-1.0,-0.06,-7.0,-1.0
Lindy Waters III,2TM,8.8,0.504,14.8,1.0,0.062,-2.8,-0.2
Orlando Robinson,2TM,12.9,0.519,18.5,1.2,0.072,-3.4,-0.3
Drew Eubanks,2TM,15.6,0.622,15.1,1.7,0.107,-0.7,0.3
Marcus Smart,2TM,12.4,0.529,20.6,0.7,0.051,-1.5,0.1
AJ Johnson,2TM,7.1,0.48,17.4,-0.4,-0.032,-8.1,-1.0
Delon Wright,2TM,9.2,0.44,11.3,0.7,0.053,-1.4,0.1
Jericho Sims,2TM,10.0,0.639,7.6,1.3,0.096,-3.0,-0.2
Josh Okogie,2TM,16.3,0.567,19.5,1.3,0.1,1.5,0.6
Colby Jones,2TM,11.4,0.544,13.7,0.6,0.053,-2.8,-0.1
Elfrid Payton,2TM,8.5,0.34,15.2,-0.6,-0.057,-6.4,-0.6
Wendell Moore Jr.,2TM,11.0,0.553,13.8,0.7,0.063,-2.7,-0.1
Reece Beekman,2TM,7.5,0.4,12.8,0.1,0.01,-5.4,-0.4
Kai Jones,2TM,20.2,0.804,13.0,2.1,0.216,2.9,0.6
Colin Castleton,3TM,11.3,0.536,13.4,0.7,0.075,-5.0,-0.3
Mo Bamba,2TM,13.9,0.557,15.2,1.0,0.117,-0.9,0.1
David Roddy,3TM,11.9,0.561,16.0,0.5,0.062,-1.5,0.1
Trey Jemison,2TM,8.9,0.537,12.4,0.3,0.037,-6.8,-0.5
Alex Len,2TM,10.6,0.525,10.3,0.7,0.083,-2.6,-0.1
Jaden Springer,2TM,10.7,0.511,14.3,0.5,0.07,-2.7,-0.1
Maxwell Lewis,2TM,9.9,0.516,16.9,0.2,0.03,-4.4,-0.2
Patty Mills,2TM,8.4,0.543,15.6,0.1,0.017,-3.2,-0.1
Jalen Hood-Schifino,2TM,7.9,0.494,17.3,-0.1,-0.015,-6.9,-0.4
Torrey Craig,2TM,12.9,0.567,14.1,0.8,0.122,-0.9,0.1
Jordan McLaughlin,2TM,12.3,0.6,13.3,0.6,0.098,-1.6,0.0
Marvin Bagley III,2TM,18.4,0.56,20.9,0.6,0.108,-1.2,0.1
JT Thor,2TM,10.0,0.517,13.1,0.2,0.033,-5.4,-0.2
Jaylen Martin,2TM,9.1,0.497,15.9,0.0,-0.004,-6.3,-0.3
Bones Hyland,2TM,16.0,0.576,28.2,0.5,0.095,2.7,0.3
Jared Rhoden,2TM,16.4,0.602,19.7,0.6,0.131,-0.5,0.1
Alex Reese,2TM,14.0,0.641,13.2,0.5,0.109,-1.2,0.0
Chuma Okeke,2TM,15.3,0.641,9.8,0.6,0.145,-0.2,0.1
Lester Quinones,2TM,9.5,0.514,22.6,-0.1,-0.025,-6.1,-0.2
Cole Swider,2TM,6.5,0.465,16.7,0.0,-0.009,-7.3,-0.2
Markieff Morris,2TM,6.0,0.385,20.5,-0.2,-0.044,-7.6,-0.2
MarJon Beauchamp,3TM,12.3,0.535,24.9,0.1,0.02,-4.3,-0.1
Pete Nance,2TM,8.5,0.578,11.7,0.2,0.064,-4.9,-0.1
Kylor Kelley,2TM,12.1,0.644,10.3,0.3,0.102,-5.4,-0.1
Moses Brown,2TM,22.4,0.706,23.5,0.4,0.146,0.1,0.1
Sidy Cissoko,2TM,6.7,0.471,16.6,-0.1,-0.045,-5.1,-0.1
Patrick Baldwin Jr.,2TM,16.2,0.721,16.4,0.2,0.098,1.5,0.1
Jacob Toppin,2TM,9.2,0.523,13.9,0.0,0.03,-2.6,0.0
Tristen Newton,2TM,-6.1,0.178,28.2,-0.1,-0.33,-20.7,-0.1
