player_name,team_abbr,pos,age,G,GS,MP,FG%,3P%,FT%,TRB,AST,STL,BLK,TOV,PTS
Devin Carter,SAC,PG,22.0,36.0,0.0,11.0,0.37,0.295,0.591,2.1,1.1,0.6,0.1,0.5,3.8
Ousmane Dieng,OKC,C,21.0,37.0,1.0,10.9,0.432,0.324,0.688,2.2,0.8,0.5,0.2,0.5,3.8
Emoni Bates,CLE,SF,21.0,10.0,0.0,7.5,0.342,0.367,,0.7,0.8,0.1,0.1,0.2,3.7
DeAndre Jordan,DEN,C,36.0,56.0,5.0,12.3,0.65,,0.422,5.1,0.9,0.3,0.5,0.7,3.7
Craig Porter Jr.,CLE,PG,24.0,51.0,1.0,10.1,0.514,0.438,0.719,1.3,1.4,0.3,0.3,0.7,3.7
Jackson Rowe,GSW,PF,28.0,6.0,0.0,8.7,0.471,0.3,0.5,1.8,0.7,0.7,0.0,0.2,3.7
Blake Wesley,SAS,SG,21.0,58.0,0.0,11.8,0.435,0.293,0.623,1.1,2.0,0.6,0.1,0.9,3.7
Baylor Scheierman,BOS,SG,24.0,31.0,2.0,12.4,0.355,0.317,0.75,2.1,1.1,0.5,0.1,0.4,3.6
Jae'Sean Tate,HOU,SF,29.0,52.0,2.0,11.3,0.473,0.348,0.681,2.3,0.9,0.5,0.1,0.4,3.6
Jaylon Tyson,CLE,SG,22.0,47.0,3.0,9.6,0.43,0.345,0.792,2.0,0.9,0.3,0.1,0.6,3.6
Luka Garza,MIN,C,26.0,39.0,0.0,5.6,0.495,0.278,0.686,1.4,0.3,0.2,0.1,0.3,3.5
Cory Joseph,ORL,PG,33.0,50.0,16.0,12.2,0.403,0.364,0.778,1.5,1.4,0.5,0.1,0.4,3.5
Doug McDermott,SAC,SF,33.0,42.0,3.0,8.1,0.427,0.436,0.6,0.5,0.2,0.1,0.0,0.1,3.5
Dario Saric,DEN,C,30.0,16.0,4.0,13.1,0.362,0.269,0.7,3.1,1.4,0.4,0.1,0.9,3.5
Jamaree Bouyea,MIL,PG,25.0,5.0,1.0,12.4,0.5,0.2,0.667,1.0,2.0,0.8,0.4,1.6,3.4
Bruno Fernando,TOR,C,26.0,17.0,2.0,8.6,0.531,,0.75,3.0,1.1,0.2,0.5,0.8,3.4
Andre Jackson Jr.,MIL,SG,23.0,67.0,43.0,14.6,0.477,0.395,0.5,2.7,1.2,0.5,0.2,0.9,3.4
Isaac Jones,SAC,PF,24.0,40.0,0.0,7.6,0.651,0.375,0.639,1.4,0.3,0.1,0.3,0.4,3.4
Kevin Knox,GSW,SF,25.0,14.0,0.0,6.0,0.5,0.267,0.75,1.2,0.4,0.1,0.3,0.3,3.3
Damion Lee,PHO,SG,32.0,25.0,0.0,5.8,0.365,0.243,0.952,0.8,0.4,0.2,0.0,0.4,3.3
Nate Williams,HOU,SG,25.0,20.0,0.0,7.4,0.435,0.231,0.625,0.7,0.5,0.4,0.2,0.7,3.3
Elijah Harkless,UTA,SG,24.0,10.0,0.0,13.8,0.314,0.28,0.5,2.1,0.8,1.0,0.1,0.3,3.2
Zeke Nnaji,DEN,PF,24.0,57.0,4.0,10.7,0.496,0.327,0.614,1.6,0.4,0.4,0.7,0.2,3.2
Cam Reddish,LAL,SF,25.0,33.0,8.0,17.8,0.404,0.277,0.615,2.0,0.7,1.0,0.3,0.4,3.2
Gary Harris,ORL,SG,30.0,48.0,3.0,14.8,0.383,0.356,0.583,1.3,0.6,0.5,0.3,0.4,3.0
Maxi Kleber,DAL,PF,33.0,34.0,4.0,18.7,0.385,0.265,0.762,2.8,1.3,0.3,0.5,0.7,3.0
Taze Moore,POR,SG,26.0,2.0,0.0,10.0,0.2,0.25,0.5,4.0,0.5,1.0,0.0,1.0,3.0
Rayan Rupert,POR,SG,20.0,52.0,0.0,8.8,0.408,0.271,0.767,1.3,0.5,0.3,0.1,0.6,3.0
P.J. Tucker,NYK,SF,39.0,3.0,1.0,19.3,0.429,0.5,,2.7,0.0,0.3,0.3,0.3,3.0
Markelle Fultz,SAC,PG,26.0,21.0,0.0,8.8,0.418,0.5,1.0,1.0,1.3,0.5,0.1,0.7,2.9
Taj Gibson,CHO,C,39.0,37.0,11.0,11.1,0.495,0.5,0.6,3.2,0.6,0.2,0.5,0.7,2.9
Tyler Smith,MIL,PF,20.0,23.0,0.0,5.3,0.48,0.433,0.75,1.1,0.2,0.1,0.2,0.3,2.9
RayJ Dennis,IND,PG,23.0,11.0,0.0,6.4,0.333,0.286,1.0,1.1,1.3,0.6,0.2,0.5,2.7
David Duke Jr.,SAS,SG,25.0,6.0,0.0,5.7,0.429,0.5,0.5,0.8,0.7,0.2,0.0,0.3,2.7
Keshad Johnson,MIA,SF,23.0,16.0,0.0,6.1,0.692,0.429,0.444,1.8,0.3,0.3,0.3,0.3,2.7
Jae Crowder,SAC,PF,34.0,9.0,2.0,11.4,0.318,0.267,0.833,2.2,0.7,0.3,0.0,0.4,2.6
Josh Minott,MIN,SF,22.0,46.0,0.0,6.0,0.489,0.326,0.895,1.0,0.4,0.3,0.3,0.2,2.6
Hunter Tyson,DEN,PF,24.0,51.0,2.0,7.8,0.375,0.311,0.75,1.5,0.4,0.2,0.1,0.3,2.6
Anthony Gill,WAS,PF,32.0,51.0,0.0,7.8,0.489,0.323,0.66,1.3,0.3,0.2,0.0,0.2,2.5
Dillon Jones,OKC,SF,23.0,54.0,3.0,10.2,0.383,0.254,0.607,2.2,1.1,0.3,0.1,0.5,2.5
Pat Spencer,GSW,PG,28.0,39.0,0.0,6.4,0.406,0.227,0.733,1.2,1.2,0.4,0.1,0.5,2.5
Johnny Davis,WAS,SG,22.0,34.0,0.0,7.1,0.41,0.241,0.6,1.1,0.3,0.4,0.2,0.2,2.4
Christian Koloko,LAL,C,24.0,37.0,0.0,9.2,0.606,0.0,0.714,2.5,0.4,0.2,0.4,0.3,2.4
John Konchar,MEM,SG,28.0,46.0,4.0,12.1,0.451,0.371,0.875,3.3,0.9,0.7,0.3,0.3,2.4
Bronny James,LAL,SG,20.0,27.0,1.0,6.7,0.313,0.281,0.786,0.7,0.8,0.3,0.1,0.5,2.3
Mason Jones,SAC,SG,26.0,10.0,0.0,4.5,0.5,0.125,0.8,0.9,1.1,0.0,0.1,0.1,2.3
Miles Norris,BOS,PF,24.0,3.0,0.0,11.7,0.222,0.286,0.5,3.0,0.0,0.7,0.3,0.0,2.3
Drew Peterson,BOS,PF,25.0,25.0,1.0,7.4,0.415,0.394,0.778,1.6,0.5,0.2,0.1,0.3,2.2
TyTy Washington Jr.,PHO,PG,23.0,16.0,0.0,7.4,0.311,0.19,0.5,0.8,1.0,0.2,0.0,0.2,2.2
JD Davison,BOS,PG,22.0,16.0,0.0,5.8,0.353,0.222,0.714,0.8,0.8,0.3,0.1,0.8,2.1
Chris Duarte,CHI,SG,27.0,17.0,0.0,4.4,0.462,0.4,0.75,1.2,0.5,0.0,0.0,0.1,2.1
Enrique Freeman,IND,PF,24.0,22.0,1.0,8.2,0.432,0.1,0.684,1.4,0.4,0.1,0.1,0.3,2.1
Johnny Furphy,IND,SG,20.0,50.0,0.0,7.6,0.38,0.3,0.818,1.4,0.4,0.4,0.2,0.2,2.1
Dwight Powell,DAL,C,33.0,55.0,3.0,10.0,0.689,0.4,0.651,2.1,1.0,0.3,0.4,0.3,2.1
Josh Christopher,MIA,SG,23.0,14.0,0.0,4.9,0.355,0.182,0.667,0.6,0.6,0.4,0.2,0.4,2.0
Tyler Kolek,NYK,PG,23.0,41.0,0.0,7.2,0.329,0.298,0.765,0.7,1.7,0.3,0.1,0.4,2.0
Adama Sanogo,CHI,C,22.0,4.0,0.0,5.3,0.571,,,1.5,0.3,0.0,0.0,0.3,2.0
Kobe Brown,LAC,PF,25.0,40.0,0.0,6.8,0.458,0.231,0.714,1.6,0.6,0.2,0.1,0.3,1.9
Ariel Hukporti,NYK,C,22.0,25.0,1.0,8.7,0.677,,0.462,2.0,0.4,0.0,0.6,0.8,1.9
Bobi Klintman,DET,SF,21.0,8.0,0.0,5.3,0.6,0.4,0.5,0.9,0.9,0.3,0.1,0.1,1.9
Garrett Temple,TOR,SG,38.0,28.0,0.0,8.1,0.3,0.214,0.917,1.0,1.1,0.6,0.1,0.4,1.9
Vlatko Cancar,DEN,PF,27.0,13.0,0.0,10.5,0.385,0.267,,2.5,0.7,0.2,0.2,0.8,1.8
Adam Flagler,OKC,SG,25.0,37.0,0.0,5.5,0.26,0.194,0.5,0.7,0.3,0.2,0.1,0.1,1.8
Trentyn Flowers,LAC,SF,19.0,6.0,0.0,4.5,0.364,0.0,1.0,0.7,0.0,0.0,0.0,0.2,1.8
E.J. Liddell,CHI,PF,24.0,12.0,0.0,4.4,0.533,0.3,1.0,0.8,0.3,0.1,0.1,0.2,1.8
Jahmir Young,CHI,PG,24.0,6.0,0.0,5.0,0.8,0.5,1.0,0.5,1.0,0.0,0.0,0.2,1.8
Pacome Dadiet,NYK,SG,19.0,18.0,0.0,6.2,0.323,0.316,0.667,1.0,0.3,0.2,0.1,0.2,1.7
Alex Ducas,OKC,SG,24.0,21.0,0.0,6.0,0.4,0.476,1.0,1.2,0.2,0.2,0.0,0.2,1.7
PJ Hall,DEN,C,22.0,19.0,0.0,3.5,0.583,0.25,0.75,1.2,0.2,0.0,0.2,0.1,1.7
Emanuel Miller,CHI,PF,24.0,6.0,0.0,4.2,0.5,0.0,1.0,1.3,0.3,0.2,0.0,0.0,1.7
Tristan Thompson,CLE,C,33.0,40.0,0.0,8.2,0.437,0.0,0.233,3.4,0.6,0.1,0.3,0.4,1.7
Yuki Kawamura,MEM,PG,23.0,22.0,0.0,4.2,0.367,0.304,0.778,0.5,0.9,0.1,0.0,0.2,1.6
Jack McVeigh,HOU,PF,28.0,9.0,0.0,4.8,0.294,0.308,,0.6,0.1,0.0,0.2,0.2,1.6
Armel Traore,LAL,SF,22.0,9.0,0.0,7.4,0.316,0.0,0.286,1.7,0.1,0.4,0.2,0.3,1.6
Jordan Walsh,BOS,PF,20.0,52.0,1.0,7.8,0.361,0.273,0.583,1.3,0.4,0.2,0.2,0.3,1.6
Phillip Wheeler,PHI,PF,22.0,5.0,0.0,8.8,0.143,0.0,1.0,1.6,0.4,0.2,0.4,0.2,1.6
Jazian Gortman,DAL,PG,21.0,16.0,0.0,3.6,0.391,0.364,0.5,0.3,0.4,0.1,0.1,0.3,1.5
Kevin McCullar Jr.,NYK,SF,23.0,4.0,0.0,7.3,0.286,0.0,1.0,2.0,0.5,0.3,0.3,0.0,1.5
Leonard Miller,MIN,SF,21.0,13.0,0.0,2.5,0.4,0.0,1.0,0.8,0.0,0.2,0.1,0.2,1.5
Quincy Olivari,LAL,PG,23.0,2.0,0.0,5.0,0.2,0.2,,0.0,0.5,0.0,0.0,0.5,1.5
Matt Ryan,NYK,SF,27.0,19.0,0.0,3.6,0.323,0.316,1.0,0.4,0.2,0.1,0.0,0.2,1.5
Cam Christie,LAC,SG,19.0,13.0,0.0,4.5,0.292,0.154,0.5,0.9,0.5,0.4,0.1,0.2,1.4
Chris Livingston,MIL,SF,21.0,21.0,1.0,5.0,0.333,0.0,0.75,1.7,0.2,0.2,0.0,0.3,1.4
Trey Alexander,DEN,SG,21.0,24.0,0.0,4.9,0.317,0.176,0.75,0.5,0.5,0.1,0.0,0.2,1.3
Spencer Jones,DEN,SF,23.0,20.0,0.0,6.3,0.324,0.059,1.0,0.9,0.3,0.3,0.3,0.3,1.3
Skal Labissiere,SAC,PF,28.0,4.0,0.0,3.0,0.5,1.0,,0.8,0.3,0.0,0.0,0.0,1.3
Jalen Bridges,PHO,SF,23.0,8.0,0.0,3.8,0.286,0.286,0.75,0.5,0.0,0.0,0.0,0.5,1.1
Yuri Collins,GSW,PG,23.0,2.0,0.0,8.0,0.333,,,1.5,2.0,1.0,0.0,0.0,1.0
Daniss Jenkins,DET,PG,23.0,7.0,0.0,3.3,0.3,0.143,0.0,0.3,0.4,0.0,0.0,0.1,1.0
Braxton Key,GSW,SF,27.0,3.0,0.0,3.7,0.0,0.0,0.5,0.7,0.0,0.7,0.0,0.3,1.0
Bryce McGowens,POR,SG,22.0,13.0,0.0,2.5,0.286,0.0,0.833,0.2,0.2,0.1,0.0,0.3,1.0
Xavier Tillman Sr.,BOS,C,26.0,33.0,2.0,7.0,0.245,0.156,0.75,1.3,0.2,0.3,0.2,0.4,1.0
Luke Travers,CLE,SG,23.0,12.0,0.0,7.3,0.25,0.0,1.0,1.7,0.7,0.1,0.1,0.7,1.0
Isaiah Crawford,SAC,SF,23.0,15.0,0.0,3.1,0.455,0.2,0.5,0.5,0.1,0.1,0.1,0.1,0.9
Justin Minaya,POR,SF,25.0,19.0,0.0,5.3,0.381,0.2,0.0,0.5,0.4,0.3,0.1,0.3,0.9
Anton Watson,NYK,SF,24.0,9.0,0.0,2.4,0.444,0.0,,0.3,0.2,0.1,0.0,0.2,0.9
D.J. Carton,TOR,SG,24.0,4.0,0.0,8.3,0.143,0.0,1.0,1.0,0.8,0.5,0.0,1.0,0.8
PJ Dozier,MIN,SG,28.0,9.0,0.0,3.9,0.667,0.667,0.167,0.6,0.6,0.1,0.0,0.1,0.8
Joe Ingles,MIN,SF,37.0,19.0,1.0,6.0,0.261,0.2,,0.6,1.2,0.1,0.0,0.5,0.8
Harrison Ingram,SAS,SF,22.0,5.0,0.0,7.0,0.5,0.0,,1.8,0.6,0.6,0.0,0.2,0.8
Ulrich Chomche,TOR,PF,19.0,7.0,0.0,4.6,0.4,,0.5,1.1,0.3,0.0,0.1,0.3,0.7
James Johnson,IND,PF,37.0,12.0,0.0,3.1,0.364,0.0,0.0,0.5,0.3,0.0,0.2,0.3,0.7
Liam Robbins,MIL,C,25.0,13.0,0.0,4.4,0.25,0.0,0.5,0.9,0.2,0.2,0.2,0.5,0.7
Stanley Umude,MIL,SG,25.0,22.0,0.0,3.9,0.192,0.2,0.5,0.8,0.2,0.1,0.3,0.1,0.7
Cui Yongxi,BRK,SG,21.0,5.0,0.0,2.0,0.143,0.0,0.5,0.4,0.0,0.0,0.0,0.0,0.6
Malevy Leons,OKC,SF,25.0,6.0,0.0,3.5,0.0,0.0,0.5,0.5,0.2,0.0,0.0,0.2,0.3
Daishen Nix,MIN,PG,22.0,3.0,0.0,4.3,0.0,0.0,0.5,1.3,1.0,0.0,0.0,1.3,0.3
Terence Davis,SAC,SG,27.0,1.0,0.0,8.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,0.0
Jesse Edwards,MIN,C,24.0,2.0,0.0,2.5,,,,0.0,0.5,0.0,0.0,0.0,0.0
Mac McClung,ORL,SG,26.0,2.0,0.0,5.0,0.0,0.0,,0.5,1.5,0.0,0.0,0.0,0.0
Jalen McDaniels,WAS,SF,27.0,4.0,0.0,1.8,,,,0.0,0.3,0.3,0.0,0.0,0.0
Riley Minix,SAS,SF,24.0,1.0,0.0,7.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0
Jahlil Okafor,IND,C,29.0,1.0,0.0,3.0,,,,1.0,1.0,0.0,0.0,0.0,0.0
Zyon Pullin,MEM,SG,23.0,3.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
Isaiah Stevens,MIA,PG,24.0,3.0,0.0,2.0,0.0,0.0,,0.7,0.0,0.3,0.0,0.0,0.0
Terry Taylor,SAC,PF,25.0,3.0,0.0,2.0,0.0,,,0.3,0.7,0.0,0.0,0.0,0.0
League Average,,,,,,,0.467,0.36,0.78,,,,,,
Luka Doncic,2TM,PG,25.0,50.0,50.0,35.4,0.45,0.368,0.782,8.2,7.7,1.8,0.4,3.6,28.2
Anthony Davis,2TM,C,31.0,51.0,51.0,33.5,0.516,0.282,0.775,11.6,3.5,1.2,2.2,2.2,24.7
De'Aaron Fox,2TM,PG,27.0,62.0,62.0,36.1,0.463,0.31,0.827,4.8,6.3,1.5,0.4,2.8,23.5
Zach LaVine,2TM,SG,29.0,74.0,74.0,35.2,0.511,0.446,0.825,4.3,4.2,0.8,0.2,2.8,23.3
Andrew Wiggins,2TM,SF,29.0,60.0,60.0,30.7,0.448,0.374,0.763,4.5,2.6,1.0,0.8,1.7,18.0
Jimmy Butler,2TM,SF,35.0,55.0,55.0,31.7,0.504,0.308,0.842,5.4,5.4,1.4,0.3,1.3,17.5
De'Andre Hunter,2TM,SF,27.0,64.0,9.0,27.2,0.47,0.405,0.846,4.0,1.4,0.8,0.2,1.3,17.0
Kyle Kuzma,2TM,PF,29.0,65.0,62.0,29.8,0.436,0.307,0.634,5.7,2.3,0.6,0.3,2.2,14.8
Quentin Grimes,2TM,SG,24.0,75.0,37.0,26.8,0.467,0.385,0.757,4.3,3.0,1.0,0.3,1.9,14.6
Dennis Schroder,3TM,PG,31.0,75.0,49.0,28.1,0.406,0.342,0.838,2.6,5.4,0.9,0.2,1.9,13.1
D'Angelo Russell,2TM,PG,28.0,58.0,36.0,25.5,0.39,0.314,0.834,2.8,5.1,1.0,0.4,1.9,12.6
Caris LeVert,2TM,SG,30.0,64.0,3.0,24.9,0.467,0.373,0.71,3.2,3.4,0.9,0.5,1.2,12.1
Khris Middleton,2TM,SF,33.0,37.0,21.0,22.8,0.475,0.361,0.857,3.7,4.1,0.9,0.2,1.5,11.9
Bogdan Bogdanovic,2TM,SG,32.0,54.0,4.0,25.0,0.427,0.363,0.879,2.9,2.7,0.8,0.2,1.4,10.8
Jonas Valanciunas,2TM,C,32.0,81.0,21.0,18.8,0.55,0.216,0.879,7.7,2.0,0.5,0.6,1.5,10.4
Kevin Porter Jr.,2TM,SG,24.0,75.0,4.0,19.8,0.449,0.311,0.769,3.7,3.4,1.1,0.2,1.8,10.3
Kevin Huerter,2TM,SG,26.0,69.0,31.0,24.3,0.425,0.338,0.714,3.0,2.3,1.0,0.3,1.0,9.9
Georges Niang,2TM,PF,31.0,79.0,3.0,21.5,0.461,0.406,0.793,3.4,1.4,0.4,0.2,1.0,9.9
Max Christie,2TM,SG,21.0,78.0,36.0,27.3,0.427,0.366,0.855,3.3,1.9,0.8,0.4,1.1,9.6
Nick Richards,2TM,C,27.0,57.0,43.0,22.0,0.591,0.0,0.744,8.2,0.9,0.2,1.0,1.4,9.3
Jared Butler,2TM,SG,24.0,60.0,17.0,17.4,0.448,0.355,0.824,1.8,3.7,0.7,0.2,1.3,9.0
Marcus Smart,2TM,PG,30.0,34.0,7.0,20.0,0.393,0.348,0.761,2.1,3.2,1.1,0.3,1.6,9.0
Jusuf Nurkic,2TM,C,30.0,51.0,32.0,20.8,0.477,0.305,0.664,7.8,2.3,0.8,0.7,1.9,8.9
Kelly Olynyk,2TM,C,33.0,44.0,22.0,20.3,0.5,0.418,0.769,4.7,2.9,0.8,0.4,1.7,8.7
Dorian Finney-Smith,2TM,PF,31.0,63.0,40.0,28.9,0.448,0.411,0.667,3.9,1.4,0.9,0.4,0.9,8.7
Jared Rhoden,2TM,SG,25.0,14.0,2.0,16.2,0.483,0.308,0.88,3.0,1.1,0.7,0.1,0.6,8.4
Bruce Brown,2TM,PG,28.0,41.0,12.0,22.5,0.421,0.333,0.815,4.0,2.0,0.8,0.2,1.0,8.3
Davion Mitchell,2TM,PG,26.0,74.0,37.0,27.4,0.468,0.398,0.69,2.3,4.9,1.0,0.2,1.7,7.9
Caleb Martin,2TM,SF,29.0,45.0,24.0,27.1,0.424,0.359,0.622,3.9,2.1,1.0,0.5,1.2,7.9
Terance Mann,2TM,SG,28.0,67.0,13.0,21.1,0.496,0.368,0.691,3.0,1.8,0.7,0.2,0.7,7.7
AJ Johnson,2TM,SG,20.0,29.0,11.0,22.0,0.385,0.267,0.865,2.0,2.6,0.4,0.1,1.2,7.6
Tre Jones,2TM,PG,25.0,46.0,9.0,19.7,0.538,0.396,0.821,2.5,4.2,0.8,0.2,0.8,7.2
Josh Okogie,2TM,SG,26.0,40.0,7.0,15.6,0.443,0.348,0.741,2.8,0.8,1.2,0.5,0.8,7.1
Jalen Hood-Schifino,2TM,SG,21.0,15.0,0.0,21.0,0.378,0.304,0.857,1.8,2.5,0.3,0.5,1.2,7.1
Orlando Robinson,2TM,C,24.0,44.0,8.0,17.5,0.444,0.327,0.771,5.0,1.8,0.4,0.4,1.1,6.9
Jake LaRavia,2TM,PF,23.0,66.0,0.0,20.4,0.475,0.423,0.678,3.9,2.4,0.9,0.3,1.3,6.9
Cody Martin,2TM,SF,29.0,53.0,8.0,22.1,0.418,0.285,0.705,4.2,2.0,1.1,0.6,1.0,6.8
Lester Quinones,2TM,SG,24.0,13.0,0.0,14.1,0.397,0.295,0.846,1.5,1.8,0.2,0.2,1.1,6.6
Vasilije Micic,2TM,PG,31.0,41.0,16.0,19.1,0.348,0.36,0.829,2.2,3.1,0.4,0.0,1.9,6.6
Thomas Bryant,2TM,C,27.0,66.0,8.0,14.6,0.508,0.324,0.859,3.8,0.8,0.4,0.6,0.5,6.5
Zach Collins,2TM,PF,27.0,64.0,12.0,15.3,0.507,0.302,0.885,4.5,1.7,0.5,0.5,0.9,6.4
KJ Martin,2TM,PF,24.0,43.0,16.0,21.2,0.552,0.259,0.787,2.9,1.1,0.4,0.5,0.6,6.4
Bones Hyland,2TM,PG,24.0,24.0,0.0,10.0,0.398,0.39,0.885,1.0,1.3,0.8,0.2,1.0,6.2
Cole Swider,2TM,SF,25.0,10.0,0.0,16.9,0.349,0.319,0.0,2.7,0.3,0.4,0.2,0.4,5.9
Chuma Okeke,2TM,PF,26.0,9.0,3.0,21.8,0.5,0.393,0.667,5.2,1.7,0.6,0.4,0.3,5.9
Kyle Anderson,2TM,PF,31.0,61.0,4.0,16.4,0.469,0.357,0.738,3.4,2.4,0.7,0.5,0.6,5.9
Moses Brown,2TM,C,25.0,13.0,2.0,9.2,0.694,,0.727,3.4,0.2,0.5,0.3,0.8,5.8
Shake Milton,2TM,SG,28.0,57.0,2.0,14.7,0.453,0.358,0.797,1.8,1.8,0.4,0.1,0.7,5.5
Javonte Green,2TM,SG,31.0,68.0,19.0,18.5,0.429,0.326,0.724,3.2,0.8,1.0,0.5,0.5,5.1
Alex Reese,2TM,PF,25.0,15.0,0.0,14.4,0.481,0.366,0.75,3.1,0.3,0.7,0.7,0.4,5.1
Kai Jones,2TM,C,24.0,40.0,6.0,11.7,0.798,0.2,0.719,3.1,0.6,0.4,0.6,0.5,5.0
Ben Simmons,2TM,PG,28.0,51.0,24.0,22.0,0.52,,0.727,4.7,5.6,0.7,0.5,2.0,5.0
Jaylen Martin,2TM,SF,21.0,16.0,0.0,14.9,0.419,0.304,0.9,2.8,1.1,0.6,0.0,0.8,4.9
Lindy Waters III,2TM,SG,27.0,52.0,9.0,15.0,0.369,0.344,0.727,2.1,1.0,0.5,0.2,0.4,4.9
Colin Castleton,3TM,C,24.0,26.0,4.0,16.6,0.469,0.125,0.763,4.7,1.1,0.3,0.4,0.9,4.7
David Roddy,3TM,PF,23.0,33.0,3.0,12.4,0.456,0.311,0.769,2.5,1.1,0.4,0.3,0.7,4.6
Drew Eubanks,2TM,C,27.0,61.0,4.0,12.2,0.593,0.5,0.662,3.7,0.9,0.2,0.6,0.7,4.6
Marvin Bagley III,2TM,PF,25.0,31.0,2.0,8.5,0.519,0.158,0.657,2.7,0.4,0.3,0.3,0.4,4.4
Mo Bamba,2TM,C,26.0,32.0,2.0,12.9,0.464,0.278,0.704,4.5,0.6,0.3,1.0,0.6,4.3
Torrey Craig,2TM,SF,34.0,26.0,4.0,12.1,0.422,0.364,0.667,2.8,0.7,0.3,0.5,0.3,4.2
Wendell Moore Jr.,2TM,SG,23.0,36.0,1.0,13.9,0.468,0.341,0.818,2.6,1.2,0.6,0.1,0.8,4.2
Maxwell Lewis,2TM,SF,22.0,28.0,1.0,11.7,0.417,0.38,0.7,2.0,0.7,0.3,0.3,0.5,4.1
Colby Jones,2TM,SG,22.0,39.0,0.0,13.2,0.457,0.327,0.657,2.2,1.1,0.7,0.3,0.6,4.0
Patty Mills,2TM,PG,36.0,29.0,0.0,11.1,0.375,0.347,0.929,0.8,0.9,0.4,0.1,0.6,3.8
Markieff Morris,2TM,PF,35.0,15.0,2.0,11.0,0.3,0.25,0.833,1.5,1.4,0.1,0.2,0.3,3.7
JT Thor,2TM,PF,22.0,20.0,0.0,12.5,0.424,0.286,0.682,2.4,0.3,0.4,0.5,0.5,3.6
Elfrid Payton,2TM,PG,30.0,24.0,9.0,21.3,0.328,0.167,0.571,3.3,6.9,1.0,0.5,2.5,3.5
Delon Wright,2TM,PG,32.0,40.0,7.0,15.9,0.344,0.274,0.6,1.7,1.9,0.9,0.3,0.6,3.1
Kylor Kelley,2TM,C,27.0,11.0,2.0,11.5,0.636,,0.6,3.5,0.5,0.1,0.3,0.4,3.1
Pete Nance,2TM,C,24.0,13.0,1.0,10.6,0.438,0.375,0.5,1.6,0.8,0.2,0.2,0.3,2.9
Reece Beekman,2TM,PG,23.0,36.0,4.0,13.0,0.327,0.175,0.762,1.1,1.8,0.9,0.1,0.6,2.6
Jaden Springer,2TM,PG,22.0,43.0,2.0,8.5,0.389,0.25,0.711,1.3,0.8,0.6,0.1,0.4,2.5
Trey Jemison,2TM,C,25.0,38.0,0.0,10.3,0.554,,0.394,2.8,0.4,0.2,0.4,0.6,2.5
MarJon Beauchamp,3TM,SF,24.0,35.0,0.0,4.5,0.415,0.345,0.75,1.3,0.3,0.1,0.0,0.4,2.3
Patrick Baldwin Jr.,2TM,SF,22.0,24.0,0.0,4.5,0.543,0.565,0.5,1.0,0.1,0.1,0.1,0.2,2.2
Jordan McLaughlin,2TM,PG,28.0,46.0,0.0,6.8,0.431,0.413,0.773,0.7,1.1,0.3,0.0,0.3,2.1
Jericho Sims,2TM,C,26.0,53.0,5.0,11.9,0.634,,0.615,3.7,0.6,0.2,0.4,0.6,1.8
Alex Len,2TM,C,31.0,46.0,7.0,8.3,0.508,0.222,0.471,2.1,0.8,0.2,0.5,0.4,1.6
Sidy Cissoko,2TM,SF,20.0,22.0,0.0,5.2,0.433,0.231,0.333,1.0,0.7,0.1,0.0,0.5,1.5
Jacob Toppin,2TM,SF,24.0,17.0,0.0,4.5,0.409,0.5,,0.9,0.4,0.1,0.0,0.2,1.4
Tristen Newton,2TM,SG,23.0,8.0,0.0,2.0,0.125,0.0,1.0,0.5,0.3,0.1,0.0,0.3,0.4
